seconds,minutes,temperature,log,real_k
2386,39.7666666666667,46.062,3.138,0.0303173306078313
2387,39.7833333333333,46.0,3.1,0.0303722967555392
2388,39.8,46.062,3.138,0.0302919392086623
2389,39.8166666666667,46.0,3.1,0.0303468699688037
2390,39.8333333333333,46.0,3.1,0.0303341725336703
2391,39.85,46.0,3.1,0.0303214857195617
2392,39.8666666666667,46.0,3.1,0.0303088095131572
2393,39.8833333333333,45.937,3.133,0.0303649167064339
2394,39.9,46.0,3.1,0.0302834888702891
2395,39.9166666666667,46.0,3.1,0.0302708444072952
2396,39.9333333333333,46.0,3.1,0.030258210498945
2397,39.95,46.0,3.1,0.0302455871320284
2398,39.9666666666667,45.937,3.133,0.0303016037024588
2399,39.9833333333333,45.937,3.133,0.0302889727713616
2400,40,45.937,3.133,0.0302763523660401
2401,40.0166666666667,45.937,3.133,0.0302637424733429
2402,40.0333333333333,45.937,3.133,0.03025114308014
2403,40.05,45.937,3.133,0.0302385541733235
2404,40.0666666666667,45.937,3.133,0.0302259757398071
2405,40.0833333333333,45.937,3.133,0.0302134077665266
2406,40.1,45.875,3.130,0.0302683493938179
2407,40.1166666666667,45.937,3.133,0.0301883031485236
2408,40.1333333333333,45.875,3.130,0.03024320956874
2409,40.15,45.875,3.130,0.0302306553098904
2410,40.1666666666667,45.875,3.130,0.0302181114695128
2411,40.1833333333333,45.875,3.130,0.0302055780346437
2412,40.2,45.875,3.130,0.0301930549923408
2413,40.2166666666667,45.875,3.130,0.0301805423296833
2414,40.2333333333333,45.875,3.130,0.0301680400337722
2415,40.25,45.812,3.127,0.030224067293401
2416,40.2666666666667,45.812,3.127,0.0302115573317729
2417,40.2833333333333,45.812,3.127,0.0301990577217888
2418,40.3,45.812,3.127,0.0301865684506052
2419,40.3166666666667,45.812,3.127,0.0301740895054003
2420,40.3333333333333,45.812,3.127,0.0301616208733734
2421,40.35,45.812,3.127,0.0301491625417445
2422,40.3666666666667,45.75,3.12,0.0302041356677966
2423,40.3833333333333,45.812,3.127,0.0301242767286684
2424,40.4,45.75,3.12,0.0301792147637803
2425,40.4166666666667,45.75,3.12,0.0301667697267643
2426,40.4333333333333,45.75,3.12,0.0301543349494656
2427,40.45,45.75,3.12,0.0301419104192021
2428,40.4666666666667,45.75,3.12,0.0301294961233128
2429,40.4833333333333,45.75,3.12,0.0301170920491575
2430,40.5,45.687,3.122,0.0301731691021965
2431,40.5166666666667,45.687,3.122,0.0301607572679299
2432,40.5333333333333,45.687,3.122,0.0301483556407638
2433,40.55,45.687,3.122,0.0301359642081125
2434,40.5666666666667,45.625,3.119,0.0301910418800582
2435,40.5833333333333,45.625,3.119,0.0301786430948919
2436,40.6,45.625,3.119,0.0301662544893521
2437,40.6166666666667,45.625,3.119,0.0301538760509075
2438,40.6333333333333,45.625,3.119,0.0301415077670475
2439,40.65,45.625,3.119,0.0301291496252815
2440,40.6666666666667,45.625,3.119,0.03011680161314
2441,40.6833333333333,45.625,3.119,0.0301044637181736
2442,40.7,45.625,3.119,0.0300921359279532
2443,40.7166666666667,45.562,3.116,0.0301483015965032
2444,40.7333333333333,45.625,3.119,0.0300675106121365
2445,40.75,45.625,3.119,0.0300552130617839
2446,40.7666666666667,45.562,3.116,0.0301113249387806
2447,40.7833333333333,45.625,3.119,0.030030648114451
2448,40.8,45.562,3.116,0.0300867241831116
2449,40.8166666666667,45.562,3.116,0.0300744388731144
2450,40.8333333333333,45.562,3.116,0.0300621635919418
2451,40.85,45.562,3.116,0.0300498983273184
2452,40.8666666666667,45.562,3.116,0.0300376430669891
2453,40.8833333333333,45.562,3.116,0.0300253977987189
2454,40.9,45.562,3.116,0.0300131625102923
2455,40.9166666666667,45.562,3.116,0.0300009371895142
2456,40.9333333333333,45.562,3.116,0.029988721824209
2457,40.95,45.562,3.116,0.0299765164022211
2458,40.9666666666667,45.562,3.116,0.0299643209114147
2459,40.9833333333333,45.562,3.116,0.0299521353396736
2460,41,45.562,3.116,0.0299399596749013
2461,41.0166666666667,45.562,3.116,0.0299277939050212
2462,41.0333333333333,45.562,3.116,0.0299156380179762
2463,41.05,45.562,3.116,0.0299034920017285
2464,41.0666666666667,45.5,3.1,0.0299583631325481
2465,41.0833333333333,45.562,3.116,0.029879229533573
2466,41.1,45.5,3.1,0.0299340660010538
2467,41.1166666666667,45.5,3.1,0.0299219322085928
2468,41.1333333333333,45.5,3.1,0.029909808249027
2469,41.15,45.5,3.1,0.0298976941104085
2470,41.1666666666667,45.5,3.1,0.0298855897808091
2471,41.1833333333333,45.5,3.1,0.02987349524832
2472,41.2,45.437,3.111,0.0299294669897098
2473,41.2166666666667,45.437,3.111,0.0299173644959816
2474,41.2333333333333,45.437,3.111,0.0299052717859995
2475,41.25,45.437,3.111,0.0298931888479041
2476,41.2666666666667,45.437,3.111,0.0298811156698556
2477,41.2833333333333,45.437,3.111,0.0298690522400334
2478,41.3,45.437,3.111,0.0298569985466354
2479,41.3166666666667,45.437,3.111,0.0298449545778792
2480,41.3333333333333,45.437,3.111,0.0298329203220011
2481,41.35,45.375,3.108,0.0298878151799943
2482,41.3666666666667,45.375,3.108,0.0298757733527662
2483,41.3833333333333,45.375,3.108,0.0298637412249561
2484,41.4,45.375,3.108,0.0298517187848494
2485,41.4166666666667,45.375,3.108,0.0298397060207508
2486,41.4333333333333,45.375,3.108,0.0298277029209839
2487,41.45,45.375,3.108,0.0298157094738906
2488,41.4666666666667,45.375,3.108,0.0298037256678319
2489,41.4833333333333,45.312,3.105,0.0298597212903615
2490,41.5,45.312,3.105,0.0298477294344216
2491,41.5166666666667,45.312,3.105,0.0298357472066277
2492,41.5333333333333,45.312,3.105,0.0298237745953892
2493,41.55,45.25,3.10,0.0298787825088191
2494,41.5666666666667,45.312,3.105,0.029799858176307
2495,41.5833333333333,45.312,3.105,0.0297879143453747
2496,41.6,45.25,3.10,0.0298428705106114
2497,41.6166666666667,45.25,3.10,0.0298309190206191
2498,41.6333333333333,45.25,3.10,0.029818977099474
2499,41.65,45.25,3.10,0.0298070447356887
2500,41.6666666666667,45.25,3.10,0.0297951219177944
2501,41.6833333333333,45.25,3.10,0.0297832086343407
2502,41.7,45.187,3.100,0.0298393019204614
2503,41.7166666666667,45.25,3.10,0.0297594106250444
2504,41.7333333333333,45.187,3.100,0.0298154686122182
2505,41.75,45.187,3.100,0.0298035662295386
2506,41.7666666666667,45.187,3.100,0.0297916733459674
2507,41.7833333333333,45.187,3.100,0.0297797899501374
2508,41.8,45.187,3.100,0.0297679160306995
2509,41.8166666666667,45.187,3.100,0.0297560515763229
2510,41.8333333333333,45.125,3.097,0.0298110891862874
2511,41.85,45.125,3.097,0.0297992169882841
2512,41.8666666666667,45.125,3.097,0.0297873542426677
2513,41.8833333333333,45.125,3.097,0.0297755009381542
2514,41.9,45.125,3.097,0.0297636570634771
2515,41.9166666666667,45.125,3.097,0.0297518226073882
2516,41.9333333333333,45.125,3.097,0.0297399975586572
2517,41.95,45.125,3.097,0.0297281819060713
2518,41.9666666666667,45.062,3.094,0.0297843228826011
2519,41.9833333333333,45.125,3.097,0.0297045787445738
2520,42,45.062,3.094,0.029760684531107
2521,42.0166666666667,45.062,3.094,0.0297488794202259
2522,42.0333333333333,45.062,3.094,0.0297370836710506
2523,42.05,45.062,3.094,0.0297252972724493
2524,42.0666666666667,45.062,3.094,0.0297135202133081
2525,42.0833333333333,45.062,3.094,0.0297017524825306
2526,42.1,45.062,3.094,0.0296899940690379
2527,42.1166666666667,45.062,3.094,0.0296782449617687
2528,42.1333333333333,45.0,3.1,0.0297332983028964
2529,42.15,45.0,3.1,0.0297215413640657
2530,42.1666666666667,45.0,3.1,0.0297097937192577
2531,42.1833333333333,45.0,3.1,0.0296980553574564
2532,42.2,45.0,3.1,0.0296863262676628
2533,42.2166666666667,45.0,3.1,0.0296746064388954
2534,42.2333333333333,45.0,3.1,0.0296628958601903
2535,42.25,45.0,3.1,0.0296511945206004
2536,42.2666666666667,44.937,3.088,0.029707351251817
2537,42.2833333333333,44.937,3.088,0.0296956416139567
2538,42.3,44.937,3.088,0.0296839412035493
2539,42.3166666666667,44.937,3.088,0.029672250009692
2540,42.3333333333333,44.937,3.088,0.0296605680214992
2541,42.35,44.937,3.088,0.0296488952281023
2542,42.3666666666667,44.937,3.088,0.0296372316186499
2543,42.3833333333333,44.875,3.085,0.0296923552405035
2544,42.4,44.875,3.085,0.0296806837172171
2545,42.4166666666667,44.875,3.085,0.0296690213660512
2546,42.4333333333333,44.875,3.085,0.0296573681761981
2547,42.45,44.875,3.085,0.029645724136867
2548,42.4666666666667,44.875,3.085,0.0296340892372843
2549,42.4833333333333,44.812,3.082,0.029690352564689
2550,42.5,44.875,3.085,0.0296108468143531
2551,42.5166666666667,44.812,3.082,0.0296670751420588
2552,42.5333333333333,44.812,3.082,0.0296554501126145
2553,42.55,44.812,3.082,0.0296438341901262
2554,42.5666666666667,44.812,3.082,0.0296322273638967
2555,42.5833333333333,44.812,3.082,0.0296206296232455
2556,42.6,44.812,3.082,0.0296090409575087
2557,42.6166666666667,44.812,3.082,0.0295974613560391
2558,42.6333333333333,44.75,3.08,0.0296526582717512
